1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Identifier,Key_Value_Driver,KVDName,Client,Country,Product,Channel,Parent_Category,Child_Category,Metrics,MonthCY,MonthLY,MTDCYplan,MTDDifferenceActuals,MTDDev%Actuals,Deviation metrics,3 mnths Avg CY,3 mnths Avg LY,Dev %,YTD 2015,YTD 2014,PlanYTD2015,DifferenceYTDActuals,YTDDev %Actuals,MTDDifferenceplan,MTDDev%plan,YTDDifferencePlan,YTDDev%plan,month,month-1,month-2,month-3,month-4,month-5,month-6,month-7,month-8,month-9,month-10,month-11,month-12,month-13,month-14,month-15,month-16,month-17,month-18,month-19,month-20,month-21,month-22,month-23,month-24,,,
Fortuna#StakeAmount#CZ#NA#Overall,Stake Amount,StakeAmount,Fortuna,CZ,NA,Overall,Customer Model,Net Gross Win per Unique Active Player,CZ K,"1,02,75,79,239","87,08,05,000",1046241103,156774238.7,18.00%,Positive,967401987.2,891747323.6,8.50%,9254104456,7986266207,9175951384,1267838249,15.90%,-18661864.63,-1.80%,78153072.11,0.90%,1027579239,1007244916,867381806.5,941683480.7,1207404427,1064430330,1096184710,1003597889,1038597659,921226000,926972000,998028000,870805000,874794061.8,929642909,945768053.5,901195695.3,882877705.5,878762937,800262692.4,902157152.3,814887310.9,844126419.6,759826663.4,649109493,,,
Fortuna#GrossWin#CZ#NA#Overall,Gross Win,GrossWin,Fortuna,CZ,NA,Overall,,,CZ K,145677206.4,114317457.7,131810702.1,31359748.62,27.40%,Positive,135244267.5,124629815.5,8.50%,1162989089,1124269495,1151505027,38719593.81,3.40%,13866504.23,10.50%,11484061.64,1.00%,145677206.4,142185877.6,117869718.7,105107914.3,142096753.7,116041552.7,123057970.1,133259994.6,137692101,118708584.8,139636182.9,138115899.1,114317457.7,144486127.1,115085861.7,143727322.3,147361796.2,82998020.73,132931166.8,120137791.6,123223950.9,1000000,1000000,1000000,1000000,,,
Fortuna#BettingTax#CZ#NA#Overall,Betting Tax,BettingTax,Fortuna,CZ,NA,Overall,Customer Model,Net Gross Win per Unique Active Player,CZ K,-29135441.27,-22863491.55,-26362140.43,-6271949.72,27.40%,Negative,-27048853.51,-24925963.11,8.50%,-232597817.8,-224853899,-230301005.5,-7743918.76,3.40%,-2773300.85,10.50%,-2296812.33,1.00%,-29135441.27,-28437175.51,-23573943.74,-21021582.87,-28419350.75,-23208310.53,-24611594.01,-26651998.92,-27538420.19,-23741716.96,-27927236.57,-27623179.82,-22863491.55,-28897225.42,-23017172.35,-28745464.47,-29472359.25,-16599604.15,-26586233.36,-24027558.33,-24644790.17,200000,1000000,1000000,1000000,,,
Fortuna#NetGrossWin#CZ#NA#Overall,Net Gross Win,NetGrossWin,Fortuna,CZ,NA,Overall,,,CZ K,116541765.1,91453966.19,105448561.7,25087798.9,27.40%,Positive,108195414,99703852.42,8.50%,930391271.2,899415596.1,921204021.9,30975675.05,3.40%,11093203.39,10.50%,9187249.31,1.00%,116541765.1,113748702.1,94295774.94,84086331.47,113677403,92833242.14,98446376.04,106607995.7,110153680.8,94966867.82,111708946.3,110492719.3,91453966.19,115588901.7,92068689.38,114981857.9,117889437,66398416.58,106344933.4,96110233.3,98579160.68,125260173.7,109896582.4,91463462.31,105666738,,,
Fortuna#NetGamingRevenue#CZ#NA#Overall,Net Gaming Revenue,NetGamingRevenue,Fortuna,CZ,NA,Overall,,,CZ K,113827196.9,89514821.88,102446178.5,24312375.03,27.20%,Positive,105916311.5,97923641.68,8.20%,902458208.8,873133044.7,"89,45,20,136",29325164.08,3.40%,11381018.37,11.10%,7938072.92,0.90%,113827196.9,111867367.1,92054370.31,83604244.95,106412413,88480234.14,94475986.68,103673784.9,108062610.8,93476785.37,109502797.9,108508108.7,89514821.88,114618639.9,89637463.25,110739635,112869040.3,63683924.34,104420055.6,91272576.52,96376887.87,1000000,1000000,1000000,1000000,,,
Fortuna#NetContribution#CZ#NA#Overall,Net Contribution,NetContribution,Fortuna,CZ,NA,Overall,,,CZ K,105190109.9,79363417.16,93183596.33,25826692.75,32.50%,Positive,99844620.7,90092764.33,10.80%,801129743,789463158.3,"78,98,69,093",11666584.72,1.50%,12006513.57,12.90%,11260649.57,1.40%,105190109.9,106746888.3,87596863.94,77847699.19,84531333.43,63832290.87,81532437.1,92185522.98,101666597.3,83635811.21,100808357.9,102089731.5,79363417.16,110256337.6,80658538.23,98554650.76,99013913.38,48522700.29,99916964.48,81299881.52,91876754.86,1000000,1000000,1000000,1000000,,,
Fortuna#EBITDA#CZ#NA#Overall,EBITDA,EBITDA,Fortuna,CZ,NA,Overall,,,CZ K,42618990.22,20196148.43,35210035.45,22422841.79,111.00%,Negative,32978010.5,31433099.25,4.90%,254573991.9,287683916.4,213946490.3,-33109924.53,-11.50%,7408954.77,21.00%,40627501.63,19.00%,42618990.22,40597307.08,15717734.21,29225952.38,15521918.86,234370.53,33204263.53,35456931.08,41996524.02,-24013467.41,41145238.08,44754500.71,20196148.43,52444543.74,21658605.57,40492711.22,42372219.25,-2960811.88,41098919.91,33092188.46,39289391.74,1000000,1000000,1000000,1000000,,,
Fortuna#UniqueActivePlayers#CZ#NA#Overall,Unique Active Players,UniqueActivePlayers,Fortuna,CZ,NA,Overall,Customer Model,Customer Model,#,68342,67768,70687.71,574,0.80%,Positive,60988,66016.67,-7.60%,616047,648693,627536.7351,-32646,-5.00%,-2345.71,-3.30%,-11489.74,-1.80%,68342,61087,53535,57534,89601,72876,74046,70813,68213,66869,72040,72311,67768,63354,66928,77789,76511,69847,75143,82051,69302,50000,50000,50000,50000,,,
Fortuna#DatabasePlayers#CZ#NA#Overall,Database Players,DatabasePlayers,Fortuna,CZ,NA,Overall,Customer Model,Unique Active Players,#,66592,65553,68162.46,1039,1.60%,Positive,59587.33,63863,-6.70%,593559,618975,603887.6351,-25416,-4.10%,-1570.46,-2.30%,-10328.64,-1.70%,66592,59693,52477,55991,83918,70088,71004,68168,65628,64666,69330,69472,65553,61533,64503,73156,72566,67178,71819,76558,66109,500000,500000,500000,500000,,,
Fortuna#FirstTimeDepositors#CZ#NA#Overall,First Time Depositors,FirstTimeDepositors,Fortuna,CZ,NA,Overall,Customer Model,Unique Active Players,#,1750,2215,2525.25,-465,-21.00%,Negative,1400.67,2153.67,-35.00%,22488,29718,23649.1,-7230,-24.30%,-775.25,-30.70%,-1161.1,-4.90%,1750,1394,1058,1543,5683,2788,3042,2645,2585,2203,2710,2839,2215,1821,2425,4633,3945,2669,3324,5493,3193,150000,150000,150000,150000,,,
Fortuna#ActivePlayerDays#CZ#NA#Overall,Active Player Days,ActivePlayerDays,Fortuna,CZ,NA,Overall,Customer Model,Net Gross Win per Unique Active Player,#,648011,640864,N/A,7147,1.10%,Positive,570458,612304.33,-6.80%,6057495,6267397,N/A,-209902,-3.30%,N/A,N/A,N/A,N/A,648011,578131,485232,520967,817519,739778,814572,716472,736813,705628,741075,763326,640864,610258,585791,698762,708672,722163,794018,749230,757639,4000000,4000000,4000000,4000000,,,
Fortuna#NetGrossWinPerUniqueActivePlayer#CZ#NA#Overall,Net Gross Win Per Unique Active Player,NetGrossWinPerUniqueActivePlayer,Fortuna,CZ,NA,Overall,Customer Model,Customer Model,CZ K,1705.27,1349.52,1491.75,355.76,26.40%,Positive,1776.25,1516.55,17.10%,1510.26,1386.5,1467.97,123.76,8.90%,213.52,14.30%,42.29,2.90%,1705.27,1862.08,1761.39,1461.51,1268.71,1273.85,1329.53,1505.49,1614.85,1420.19,1550.65,1528.02,1349.52,1824.49,1375.64,1478.12,1540.82,950.63,1415.23,1171.35,1422.46,1686.28,1488.59,1356.64,1800.05,,,
Fortuna#StakeAmountPerActivePlayerDays#CZ#NA#Overall,Stake Amount Per Active Player Days,StakeAmountPerActivePlayerDays,Fortuna,CZ,NA,Overall,Customer Model,Net Gross Win per Unique Active Player,CZ K,1585.74,1358.8,N/A,226.95,16.70%,Positive,1705.18,1459.76,16.80%,1527.71,1274.26,N/A,253.46,19.90%,N/A,N/A,N/A,N/A,1585.74,1742.24,1787.56,1807.57,1476.91,1438.85,1345.72,1400.75,1409.58,1305.54,1250.85,1307.47,1358.8,1433.48,1586.99,1353.49,1271.67,1222.55,1106.73,1068.11,1190.75,1200,1200,1200,1200,,,
Fortuna#NetGrossWinMargin#CZ#NA#Overall,Net Gross Win Margin,NetGrossWinMargin,Fortuna,CZ,NA,Overall,Customer Model,Net Gross Win per Unique Active Player,%,11.30%,10.50%,10.10%,0.01,8.00%,Positive,0.11,0.11,-0.30%,10.10%,11.30%,10.00%,-0.01,-10.70%,0.01,12.50%,0,0.10%,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.11,0.11,0.1,0.12,0.11,0.11,0.13,0.1,0.12,0.13,0.08,0.12,0.12,0.11,0.15,0.13,0.12,0.16,,,
